,datetime,name,price,quantity
368,2019-07-30 18:43:00,Saag Paneer,5.95,1
369,2019-07-30 18:43:00,Baingan Hari Mirch,5.95,1
370,2019-07-30 18:38:00,Madras - Chicken,7.95,1
371,2019-07-30 18:38:00,Lemon Rice,3.95,1
372,2019-07-30 18:38:00,Spicy Papadum,0.8,1
373,2019-07-30 18:38:00,French Fries,3.95,1
374,2019-07-30 18:33:00,Mint Sauce,0.5,1
375,2019-07-30 18:33:00,Lime Pickle,0.5,1
376,2019-07-30 18:01:00,Mango Chutney,0.5,2
377,2019-07-30 17:35:00,Red Sauce,0.5,1
378,2019-07-30 17:00:00,Onion Chutney,0.5,1
379,2019-07-30 17:00:00,Red Sauce,0.5,1
380,2019-07-29 22:21:00,Red Sauce,0.5,1
381,2019-07-29 20:03:00,Mango Chutney,0.5,1
382,2019-07-29 17:20:00,Mint Sauce,0.5,1
383,2019-07-28 20:00:00,Mango Chutney,0.5,1
384,2019-07-28 20:00:00,Mint Sauce,0.5,1
385,2019-07-28 20:00:00,Onion Chutney,0.5,1
386,2019-07-28 19:29:00,Onion Chutney,0.5,1
387,2019-07-28 19:29:00,Mango Chutney,0.5,1
388,2019-07-28 19:29:00,Mint Sauce,0.5,1
389,2019-07-28 17:58:00,Mango Chutney,0.5,1
390,2019-07-28 17:58:00,Mint Sauce,0.5,1
391,2019-07-28 17:41:00,Mango Chutney,0.5,1
392,2019-07-28 17:10:00,Mango Chutney,0.5,1
393,2019-07-27 20:28:00,Mango Chutney,0.5,1
394,2019-07-27 20:28:00,Mint Sauce,0.5,1
395,2019-07-27 19:49:00,Mango Chutney,0.5,2
396,2019-07-27 19:49:00,Lime Pickle,0.5,1
397,2019-07-27 19:36:00,Mango Chutney,0.5,1
398,2019-07-27 19:35:00,Mint Sauce,0.5,1
399,2019-07-27 19:35:00,Red Sauce,0.5,1
400,2019-07-27 19:35:00,Mint Sauce,0.5,1
401,2019-07-27 19:35:00,Mango Chutney,0.5,1
402,2019-07-27 19:23:00,Mint Sauce,0.5,2
403,2019-07-27 18:56:00,Mango Chutney,0.5,1
404,2019-07-27 18:56:00,Mint Sauce,0.5,1
405,2019-07-27 18:18:00,Mango Chutney,0.5,1
406,2019-07-27 18:11:00,Mango Chutney,0.5,1
407,2019-07-27 18:01:00,Mint Sauce,0.5,1
408,2019-07-27 18:01:00,Mango Chutney,0.5,1
409,2019-07-27 16:55:00,Onion Chutney,0.5,2
410,2019-07-27 16:55:00,Red Sauce,0.5,2
411,2019-07-27 16:55:00,Mint Sauce,0.5,2
412,2019-07-27 16:55:00,Mango Chutney,0.5,1
413,2019-07-27 16:55:00,Lime Pickle,0.5,1
414,2019-07-26 20:42:00,Mint Sauce,0.5,1
415,2019-07-26 19:51:00,Mango Chutney,0.5,1
416,2019-07-26 19:42:00,Mango Chutney,0.5,1
417,2019-07-26 19:42:00,Red Sauce,0.5,1
418,2019-07-26 19:42:00,Red Sauce,0.5,1
419,2019-07-26 19:42:00,Mango Chutney,0.5,1
420,2019-07-26 19:42:00,Mint Sauce,0.5,1
421,2019-07-26 19:33:00,Red Sauce,0.5,1
422,2019-07-26 19:33:00,Mango Chutney,0.5,1
423,2019-07-26 19:33:00,Mint Sauce,0.5,1
424,2019-07-26 19:12:00,Mint Sauce,0.5,1
425,2019-07-26 19:12:00,Red Sauce,0.5,1
426,2019-07-26 18:32:00,Mango Chutney,0.5,1
427,2019-07-26 18:14:00,Mango Chutney,0.5,1
428,2019-07-26 18:14:00,Lime Pickle,0.5,1
429,2019-07-26 17:56:00,Mango Chutney,0.5,1
430,2019-07-26 17:46:00,Mint Sauce,0.5,2
431,2019-07-26 17:46:00,Onion Chutney,0.5,1
432,2019-07-26 17:46:00,Red Sauce,0.5,1
433,2019-07-26 17:46:00,Lime Pickle,0.5,1
434,2019-07-25 19:51:00,Onion Chutney,0.5,1
435,2019-07-25 19:51:00,Red Sauce,0.5,1
436,2019-07-25 19:50:00,Mango Chutney,0.5,2
437,2019-07-25 19:11:00,Mint Sauce,0.5,1
438,2019-07-25 19:11:00,Mango Chutney,0.5,1
439,2019-07-25 17:23:00,Lime Pickle,0.5,1
440,2019-07-24 23:08:00,Mango Chutney,0.5,1
441,2019-07-24 23:08:00,Mint Sauce,0.5,1
442,2019-07-24 23:08:00,Onion Chutney,0.5,1
443,2019-07-23 21:30:00,Mint Sauce,0.5,1
444,2019-07-23 19:54:00,Mango Chutney,0.5,2
445,2019-07-23 19:26:00,Red Sauce,0.5,1
446,2019-07-23 19:26:00,Mint Sauce,0.5,1
447,2019-07-22 20:14:00,Onion Chutney,0.5,1
448,2019-07-22 20:14:00,Mint Sauce,0.5,1
449,2019-07-22 20:14:00,Red Sauce,0.5,1
450,2019-07-21 18:55:00,Mango Chutney,0.5,2
451,2019-07-21 18:55:00,Mint Sauce,0.5,1
452,2019-07-21 18:47:00,Mango Chutney,0.5,1
453,2019-07-21 17:26:00,Onion Chutney,0.5,1
454,2019-07-21 14:36:00,Lime Pickle,0.5,1
455,2019-07-20 21:17:00,Red Sauce,0.5,1
456,2019-07-20 20:15:00,Mango Chutney,0.5,1
457,2019-07-20 19:47:00,Mango Chutney,0.5,1
458,2019-07-20 19:47:00,Mint Sauce,0.5,1
459,2019-07-20 19:04:00,Mint Sauce,0.5,1
460,2019-07-20 19:04:00,Onion Chutney,0.5,1
461,2019-07-20 19:04:00,Mint Sauce,0.5,1
462,2019-07-20 19:04:00,Onion Chutney,0.5,1
463,2019-07-20 18:58:00,Mango Chutney,0.5,1
464,2019-07-20 18:45:00,Mango Chutney,0.5,2
